"COMPONENT 
TAG NUMBER",I/O TAG NUMBER,INSTRUMENT/EQUIPMENT TYPE,IO TYPE,
,,,,
LSL,LAL,LEVEL SWITCH LOW,DI,
LSLL,LALL,LEVEL SWITCH LOW LOW,DI,
LSH,LAH,LEVEL SWITCH HIGH ,DI,
LSHH,LAHH,LEVEL SWITCH HIGH HIGH,DI,
MV,HSC,CLOSE-MAIN INLET ,DO,
,HSO,OPEN- MAIN INLET ,DO,
,ZIC,CLOSED- MAIN INLET ,DI,
,ZIO,OPENED- MAIN INLET ,DI,
,HI,LOCAL/OFF/REMOTE INDICATION-,DI,
,YA,GENERAL ALARM,DI,
LIT,LI,WATER LEVEL,AI,
PIT,PI,PRESSURE,AI,
PSL,PAL,LOW PRESSURE SWITCH,DI,
PSH,PAH,HIGH PRESSURE SWITCH,DI,
HS-DETAIL P1(VFD PUMP),HSO,OPEN MOTOR STARTER,COMMUNICATION INTERFACE,
,HSC,CLOSE MOTOR STARTER ,,
,XI,OVERLOAD OF MOTOR STARTEROVERLOAD OF MOTOR STARTER ,,
,EI,UNDERVOLTAGE OF MOTOR STARTER ,,
,HI,SELECTOR SWITCH AUTO POSITION,,
,HI,SELECTOR SWITCH MANUAL POSITION,,
,YI,ON STATUS OF MOTOR STARTER,,
,YI,OFF STATUS OF MOTOR STARTER,,
,YA,GENERAL ALARM ,,
,YA,POWER FAILURE,,
,SI,FREQUENCY OF MOTOR STARTER,,
,HSR,START ,DO,
,HSS,STOP,DO,
,HS,DRIVE ON/OFF ,DO,
,SC,SPEED CONTROL,AO,
,TAHH,HIGH HGH TEMPRATURE INDICATION ,COMMUNICATION INTERFACE,
,VAHH,HIGH HGH VIBRATION NDICATION ,,
,TI,TEMPERATURE SENSOR READING,AI,
,VI,VIBRATION SENSOR READING,AI,
"HS-DETAIL SP
(SUMP PIT PUMP)",HI,AUTO/MANUAL INDICATION ,DI,
,LAHH,HIGH HIGH LEVEL ALARM ,DI,
,LALL,LOW LOW  LEVEL ALARM ,DI,
,YA,POWER FAILURE ,DI,
,YI,PUMP 1 RUNNING STATUS,DI,
,YA,PUMP 1 FAULT ,DI,
,YI,PUMP 2 RUNNING STATUS ,DI,
,YA,PUMP 2 FAULT ,DI,
,II,PUMP 1 CURRENT INDICATION ,AI,
,II,PUMP 2 CURRENT INDICATION ,AI,
"HS-DETAIL EF
(EXHAUST FAN)",HI,LOR SELECTOR SWITCH OFF INDICATION 1,DI,
,HI,LOR SELECTOR SWITCH LOCAL/REMOTE INDICATION 1,DI,
,HSS,STOP,DO,
,HSR,START ,DO,
,YA,FAULT ,DI,
,YI,STATUS ,DI,
ROOF TOP UNIT ,HA,MANUAL MODE-ROOF TOP UNIT ,MODBUS RTU,
